linetype,characterID,characterName,transactTime,transactionID,transactionType,stationID,stationName,clientID,clientName,typeID,typeName,quantity,price,transactionFor
TRADE,90192277,Gynax Gallenor,2011-04-06 23:25:00,1776739742,buy,60011851,Fricoure VIII - Moon 2 - Federation Navy Assembly Plant,1978284406,Sera Therdon,37,Isogen,3620,73.50,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 23:32:00,1776743417,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1141011919,Knnes,16229,Brutix,1,20100006.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 23:35:00,1776744955,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,684939362,Ashley05,3540,Large Armor Repairer II,2,1291113.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 23:37:00,1776746242,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1462492085,Ashley01,3540,Large Armor Repairer II,2,1291113.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 23:38:00,1776746803,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1462492085,Ashley01,2048,Damage Control II,3,610081.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 23:49:00,1776753319,buy,60011842,Caretyn VII - Moon 13 - Federation Navy Assembly Plant,1309241320,Biohazard 469,626,Vexor,1,3016140.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 23:50:00,1776753961,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1941350280,Ace Noble,627,Thorax,1,5300051.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 23:56:00,1776757477,buy,60015016,Trossere VII - Moon 3 - University of Caille School,1431555589,Fat Won,626,Vexor,1,3016140.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:01:00,1776760554,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,873910394,Makin' Iskies,657,Iteron Mark V,3,1147777.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:05:00,1776762975,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,528712683,Mutenok,10208,Memory Augmentation - Standard,1,18388600.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:10:00,1776766601,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1848348581,Murlag,15508,Vespa I,4,12735.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:14:00,1776768294,buy,60011140,Aymaerne VI - Moon 10 - Aliastra Warehouse,1319725141,INKA SOMO,37,Isogen,301,73.50,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:15:00,1776769005,buy,60011140,Aymaerne VI - Moon 10 - Aliastra Warehouse,1319725141,INKA SOMO,223,Iron Charge M,60,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:20:00,1776771874,buy,60015016,Trossere VII - Moon 3 - University of Caille School,90589979,Vilo Thellere,37,Isogen,111,73.50,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:26:00,1776775685,buy,60011140,Aymaerne VI - Moon 10 - Aliastra Warehouse,1319725141,INKA SOMO,37,Isogen,621,73.50,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:31:00,1776778629,buy,60005617,Deltole III - Moon 1 - Core Complexion Inc. Warehouse,1836416012,Little Gear,37,Isogen,3685,73.50,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:35:00,1776780373,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,832603989,Lord Bantal,652,Mammoth,1,1219995.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:38:00,1776781800,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1319725141,INKA SOMO,11200,Taranis,1,13796443.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:41:00,1776783635,buy,60010927,Ainaille VII - Moon 5 - Duvolle Laboratories Factory,90539907,Marcella Moreau,37,Isogen,300,75.45,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:43:00,1776785213,buy,60009586,Aufay IV - Moon 2 - Astral Mining Inc. Mining Outpost,90190978,Ayatollah Ali,37,Isogen,39,73.50,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 00:47:00,1776787324,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90564700,Hynee Whole,3332,Gallente Cruiser,1,301522.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 01:00:00,1776794693,buy,60011791,Ation IX - Moon 4 - Federation Navy Logistic Support,90114670,bub15,37,Isogen,2,73.50,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 01:02:00,1776795961,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,824627936,Marcus Nettron,627,Thorax,1,4808112.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-07 01:03:00,1776796451,buy,60011869,Eglennaert I - Moon 4 - Federation Navy Assembly Plant,417085993,Shaklton,626,Vexor,1,3016140.08,personal
